id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,higherClassification,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,subgenus,specificEpithet,verbatimTaxonRank,infraspecificEpithet,taxonRank,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,eventDate2,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,eventID,informationWithheld,dataGeneralizations,dynamicProperties,associatedOccurrences,associatedSequences,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,locationID,continent,waterBody,islandGroup,island,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,sourcePrimaryKey-dbpk,collID,recordID,references
2283873,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74352,74352,urn:catalog:CAS:DS:185825,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Applegate, Elmer I.",,38,1895-04-06,,1895,4,6,96,,"April 6, 1895.",,,,,,,,,,,,,,,,,,,,,North America,,,,United States,California,Santa Clara County,,Stanford University. Above Stock Farm.,,0,,,,,,,,,,,,,,,,,,en,,urn:catalog:CAS:BOT-BC:74352,1,e6544f39-7daa-48d3-accf-6e27d8723284,https://www.cch2.org/portal/collections/individual/index.php?occid=2283873
3330781,UCJEPS,VASC,,PreservedSpecimen,9ab2930d-3e88-4ca5-9b56-4636a9f482f6,UC117497,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,T. S. Brandegee,,,1895-04-07,,1895,4,7,97,,Apr 7 1895,,,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,San Diego,,San Diego,,0,,32.73409,-117.12945,WGS84,9654,San Diego NHM A,,TOPO! and personal research,,georef from 2006-2015 archive backup file; Tue Sep 3 16:06:22 2013; (copied from UC101054),,,,,,,,,preprocessed,9ab2930d-3e88-4ca5-9b56-4636a9f482f6,46,8739095e-470f-4567-be73-0af2e7de5302,https://www.cch2.org/portal/collections/individual/index.php?occid=3330781
3308798,UCJEPS,VASC,,PreservedSpecimen,b3a3ff71-9373-4b0e-9337-af2e17154f83,UC220629,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus raphanistrum,29701,L.,Raphanus,,raphanistrum,,,Species,,,,,,,,H. E. Brown,,343,1897-06-01,,1897,6,1,152,161,June 1-10 1897,"Date as ""June 1-10 1897",,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,Siskiyou,,near Sisson,,0,,41.3315,-122.3362,WGS84,6000,,,BerkeleyMapper,,,1083,,,,,3555 ft,,,,b3a3ff71-9373-4b0e-9337-af2e17154f83,46,574b6ade-a3c9-417e-b6a8-8662cdf1b62d,https://www.cch2.org/portal/collections/individual/index.php?occid=3308798
929536,RSA,POM,,PreservedSpecimen,6707ea3c-ed1a-4286-a28d-eff42060194c,,POM accession: 94326,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,C. C. Bruce,,1941,1897-04-00,,1897,4,0,,,1897-04,,Fields.,,,,,,,,,,,flowers & fruits,Introduced,,,,,herbarium sheet,,,,,,United States,California,Butte,,[No locality information provided],,0,,,,,,,,,,,,,,,,,,,Jackie C. McConnaughy; cataloged date: 2012-04-13,6707ea3c-ed1a-4286-a28d-eff42060194c,17,5e2bb05b-5065-44ab-87e8-cf6277775ff8,https://www.cch2.org/portal/collections/individual/index.php?occid=929536
2286564,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74343,74343,urn:catalog:CAS:DS:62625,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Dudley, W. R.",,s.n.,1897-05-24,,1897,5,24,144,,"May 24, 1897.",,,,,,,,,,,,,,,,,,,,,North America,,,,United States,California,Santa Clara County,,"Santa Cruz Peninsula. Near Lake Lagunita, Stanford University.",,0,,,,,,,,,,,,,,,,,,en,,urn:catalog:CAS:BOT-BC:74343,1,de56ea59-38aa-44c2-8d18-228a10088121,https://www.cch2.org/portal/collections/individual/index.php?occid=2286564
2358923,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74342,74342,urn:catalog:CAS:DS:100762,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Dudley, W. R.",,s.n.,1897-05-24,,1897,5,24,144,,"May 24, 1897.",,,,,,,,,,,,,,,,,,,,,North America,,,,United States,California,Santa Clara County,,"Santa Cruz Peninsula. Near Lake Lagunita, Stanford University.",,0,,,,,,,,,,,,,,,,,,en,,urn:catalog:CAS:BOT-BC:74342,1,bbdda3f0-6b68-4630-a190-eea51485de84,https://www.cch2.org/portal/collections/individual/index.php?occid=2358923
3209072,UCJEPS,VASC,,PreservedSpecimen,b7d92278-ef1b-45d6-85cc-f9139c4d8b33,UC1206452,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,W. R. Dudley,,,1897-05-24,,1897,5,24,144,,May 24 1897,,,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,Santa Clara,,"near Lake Lagunita (Stanford University); Santa Cruz Peninsula, Stanford University",,0,,37.42722,-122.16917,NAD27,415,,,"Biogeomancer, inferred",,,,,,,,,,,,b7d92278-ef1b-45d6-85cc-f9139c4d8b33,46,63be5e57-5568-4f75-806e-14590fa01f7e,https://www.cch2.org/portal/collections/individual/index.php?occid=3209072
3511149,UCJEPS,VASC,,PreservedSpecimen,6b6f13c4-ea62-4799-9bcc-f1e53118c532,JEPS53812,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,Willis L. Jepson,,126e,1897-06-25,,1897,6,25,176,,Jun 25 1897,,,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,Alameda,,Berkeley,,0,,37.87167,-122.27167,,,,,,,,,,,,,,,,,6b6f13c4-ea62-4799-9bcc-f1e53118c532,46,26187fc3-aacb-487c-b451-8941f2bca9bc,https://www.cch2.org/portal/collections/individual/index.php?occid=3511149
4981056,US,,,PreservedSpecimen,http://n2t.net/ark:/65665/3d327f980-0e82-4e24-a51c-34d3ef9fe4fc,US 299174,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,H. E. Brown,,343,1897-06-01,,1897,6,1,152,161,1897-6-1,,,,,,,,,,,,,,,,,,1,,,North America,,,,United States,California,,,"Collected near Sisson, Siskiyou County.",,0,,,,,,,,,,,1084,,,,,,,,,http://n2t.net/ark:/65665/3d327f980-0e82-4e24-a51c-34d3ef9fe4fc,91,6427b302-0c56-4926-8a0e-c9fc1f8d671d,https://www.cch2.org/portal/collections/individual/index.php?occid=4981056
2342281,CAS,BOT-BC,,PreservedSpecimen,urn:catalog:CAS:BOT-BC:74316,74316,urn:catalog:CAS:DS:95622,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,Ihsan A. Al-Shehbaz,2010-01,,,,,,"Parish, S. B.",,4540,1898-05-25,,1898,5,25,145,,25 May 1898,,,,,,,,,,,,,,,,,,,,,North America,,,,United States,California,San Bernardino County,,West Riverside.,,0,,34.00372,-117.43835,WGS84,4790,,GoogleMaps via BerkeleyMapper,,,,,,,,,,,en,,urn:catalog:CAS:BOT-BC:74316,1,3129ac88-844e-430d-8b22-15b0da1cdba7,https://www.cch2.org/portal/collections/individual/index.php?occid=2342281
3183373,UCJEPS,VASC,,PreservedSpecimen,bc43feff-56b3-47bc-a0a2-4ab559b62883,UC10780,,Organism|Plantae|Viridiplantae|Streptophyta|Embryophyta|Tracheophyta|Spermatophytina|Magnoliopsida|Rosanae|Brassicales|Brassicaceae|Raphanus,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Raphanus sativus,29702,L.,Raphanus,,sativus,,,Species,,,,,,,,T. H. Gilbert,,,1898-08-07,,1898,8,7,219,,Aug 7 1898,,,,,,,,,,,,,Flowering/Fruiting,,,,,,,,,,,,United States,California,Alameda,,Berkeley,,0,,37.87167,-122.27167,,,,,,,,,,,,,,,,,bc43feff-56b3-47bc-a0a2-4ab559b62883,46,b7a7134d-b25d-411d-9204-aff0e0419ee8,https://www.cch2.org/portal/collections/individual/index.php?occid=3183373
