Lab_ID,CCH2_ID,Herbarium_ID,year,tiss_wt.mg,tiss_type,tissue_notes,Qbit_ng/ul,Nano_ng/ul,260/280,260/230,Nano_curve,gel?,gel_notes,other_notes,date_extracted,usable?,importance,priority,RNA_Qubit,
25_036,202480,OBI101761,2004,3.4,bud+leaf,2 lrg + 1.1 mg lf tissue,0.819,6.4,1.94,-0.42,neg start v little positive,n,,homogenization: 32 min with 3 2.45 mm beads + 20 min after adding 1 3.2mm bead,250418,n,"not redundant, would need to revisit OBI",high priority,,
25_037,1896191,UCSB041759,2005,3.1,bud+leaf,"5 med + 1.1mg leaf, maybe axillary bud but think I stole it already - some petiole tissue; saved 1 lrg",4.03,40.7,2.09,-15.97,neg start ,y,fragments too small,homogenization: 32 min with 3 2.45 mm beads + 20 min after adding 1 3.2mm bead,250418,m,close to oldest in campus area,high priority,,
25_038,292533,UCSB038863,2007,0.2,bud,3 sml/med,0,1.8,7.94,-0.15,neg start and never recovers…,n,,homogenization: 32 min with 3 2.45 mm beads + 20 min after adding 1 3.2mm bead,250418,n,"meh - not a big deal to lose, would be good esp if go back and get 304588 from ucsb I guess",,,
25_039,1895626,UCSB041178,2009,1.2,bud,2 med/lrg + some lf tissue,11.6,63.3,2,2.26,great!,y,,homogenization: 32 min with 3 2.45 mm beads + 20 min after adding 1 3.2mm bead,250418,y,grp1 maybe redundant,,,
25_040,216778,OBI101740,2016,5.4,bud+leaf,5 med/lrg + 3.4 mg lf tissue,4.9,10.8,1.65,-1,neg start small peak,y,,homogenization: 16 min with 3 2.45 mm beads + 20 min after adding 1 3.2 mm bead,250418,y,meh - not a big deal to lose,,,
25_041,215180(f),OBI101741,2017,4.2,bud+leaf,"1 bud, one sml leaf",0.307,0.8,-5.92,0.04,negative always,n,,homogenization: 32 min with 3 2.45 mm beads + 20 min after adding 1 3.2mm bead,250418,n,"not redundant, would need to revisit OBI","high priority, but good extraction last time",,
25_042,3964300(f),UCSB044460,2017,3.1,bud+leaf,3 med + 2.8 mg lf,0.302,5.3,1.81,-5.32,right shape but dips below 0,n,,homogenization: 32 min with 3 2.45 mm beads + 10 min after adding 1 3.2mm bead,250418,n,grp1 maybe redundant,,,
25_043,4064867,UCSB050386,2017,3.8,bud+leaf,axillary bud cluster/some lil buds,28.5,190.4,2.15,3.31,great!,y,maybe needs cleanup + dilution (maybe just way overloaded well bc really high concentration,homogenization: 26 min with 3 2.45 mm beads,250418,y,grp1 maybe redundant,,,
25_044,3630484,OBI161552,2019,3.3,leaf,"ugly yellow leaf bit, last shot",0.397,3.6,2.61,-0.32,"negative, barely above 0",n,,homogenization: 16 min with 3 2.45 mm beads +20 min after adding 1 3.2 mm bead,250418,m,"Nothing else nearby, right at tip of point conception… ",,,
25_045,236400(f),UCSC100000698,2011,11.9,bud+leaf,"1 axillary bud cluster, several sml buds, 1 lil leaf",0.631,7.7,1.56,-0.6,neg but bump,n,bad contam from rusty beads,"bead homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,n,,,,
25_046,236400,UCSC100000698,2011,8.9,bud+leaf,"1 axillary bud cluster, several sml buds, 1 lil leaf",58,678.1,2.09,2.55,,y,maybe needs cleanup + dilution (maybe just way overloaded well bc really high concentration,"sand homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,y,,,,
25_047,236311(f),UCSC100000688,2013,?,bud+leaf,"1 axillary bud cluster, several sml buds, few lil leaves",0,-1.4,-3.44,0.08,flat and all negative,n,bad contam from rusty beads,"bead homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,n,,,,
25_048,236311,UCSC100000688,2013,~.6,bud+leaf,"1 axillary bud cluster, several sml buds, few lil leaves",11.2,62.7,2.12,9.89,,y,,"sand homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,y,,,,
25_049,238791(f),UCSC100000690,2015,?,bud+leaf,"1 axillary bud cluster, several sml buds, 1 lil leaf",15.9,122.3,2.08,2.33,,y,bad contam from rusty beads,"bead homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,n,,,,
25_050,238791,UCSC100000690,2015,2.2,bud+leaf,"1 axillary bud cluster, several sml buds, 1 lil leaf",22.8,133.7,2.1,3.69,,y,,"sand homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,y,,,,
25_051,3590166,UCSC100003138,2019,~1,bud+leaf,"1 axillary bud cluster, several sml buds, 1 lil leaf",6.09,39.5,2.12,54.92,,y,,"bead homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,y,,,,
25_052,3590166,UCSC100003138,2019,?,bud+leaf,"1 axillary bud cluster, several sml buds, 1 lil leaf",13.4,64.2,2.05,10.77,,y,"issue with that lane, but more conc. Than with beads","sand homogenized; saved tissue, weight = bad estimate bc tare with diff tube",250429,y,,,,
25_053,231367,UCSC100000693,2007,8.2,bud,1 bud cluster and some buds,9.01,59.3,2.06,1.95,,,,"saved tissue, weight = bad estimate bc tare with diff tube",250809,y,,,,
25_054,235906,UCSC100000697,2011,1.3,bud,1 bud cluster and some buds,4.59,16.5,1.96,1.39,,,,"saved tissue, accurate weight",250809,y,,,,
25_055,236700,UCSC100000689,2012,2,bud,1(+?) bud cluster and some buds,5.23,17.4,2.06,1.47,,,,"saved tissue, accurate weight",250809,y,,,,
25_056,3590276,UCSC100003126,2019,1.2,bud,1(+?) bud cluster and some buds,5.13,12.6,2.05,1.27,,,,"no extra, potentially some tissue left in bead tube, rinse w/ lysis buffer",250809,y,,,,
25_057,,UCSC100006703,2020,1.4,axillary bud,2 axillary buds,4.76,12.5,2.03,1.26,,,,"saved tissue, accurate weight",250809,y,,,,
25_058,,UCSC100006685,2020,3.3,axillary buds,3 axillary buds,5.52,15.3,1.93,1.28,,,,"saved tissue, accurate weight",250809,y,,,,
25_059,,UCSC100006704,2020,11.1,axillary bud,1 massive axillary bud,too high,193.4,1.94,2.28,,,,"saved tissue, accurate weight",250809,y,,,,
25_060,,UCSC100006681,2020,3.9,axillary bud,2 axillary buds,39.7,171.4,2.06,2.23,,,,"saved tissue, accurate weight",250809,y,,,,
25_061,1896191,UCSB041759,2005,2.4,bud,1 big bud,0.301,6.7,2.6,0.96,,,,"accurate weight, no extra tissue",250809,n,,,,
25_062,293450,UCSB032040,2001,1.2,bud,1 big bud,0.393,7.7,2.15,0.68,,,,"accurate weight, no extra tissue",250809,n,,,,
25_063,3475357,JEPS100009,2003,4.5,axillary bud,3 axillary buds,2.25,22.3,2.12,1.44,,,,"saved tissue, accurate weight",250809,y,,,,
25_064,3400832,JEPS111867,2004,12.4,bud cluster,1 huge bud cluster,1.21,25.3,2.13,1.38,,,,"saved tissue, accurate weight",250809,m,,,,
25_065,3349335,JEPS127092,2016,12,axillary bud + leaf,"2 axillary buds, tiny leaf",5.74,30.9,2.11,1.52,,,,"saved tissue, inaccurate weight",250809,y,,,,
25_066,5509705,UC2082406,2016,6.9,axillary bud,2 axillary buds,17.7,91.8,2.04,2.12,,,,"saved tissue, accurate weight",250809,y,,,,
25_067,5549192,SDSU25094,2021,9.7,axillary bud,1 massive axillary bud,44.9,97.8,1.89,2.13,,,,"saved tissue, accurate weight",250809,y,,,,
25_068,3753225,SDSU15560,2000,2.0,axillary bud,2 axillary buds,1.97,29.4,2.13,1.38,,,,"saved tissue, accurate weight",250809,m,,,,
25_069,389892,SDSU15680,2003,2.8,bud +leaf,"2 axillary buds, 1 little leaf",3.7,33.7,2.12,1.75,,,,"saved tissue, accurate weight",250809,y,,,,
25_070,393682,SDSU19512,2010,2.8,bud clusters,1 axillary bud 1 terminal bud cluster,1.88,22.2,2.07,1.33,,,,"saved tissue, accurate weight",250809,m,,,,
25_071,394122,SDSU19952,2012,5,buds,12  flower buds,4,19.2,1.96,1.49,,,,"accurate weight, no extra tissue",250809,y,,,,
25_072,394165,SDSU19995,2012,3.5?,bud +leaf,"10 buds, 2 tiny leaves",2.41,10.7,2.1,1.08,,,,"no extra tissue, inaccurate weight",250809,y,,,,
25_073,395628,SDSU21677,2016,7.2,bud clusters,2 terminal bud clusters,36.4,107.1,1.97,2.21,,,,"saved tissue, accurate weight",250809,y,,,,
25_074,469031,SD00062660,2003,3,"axillary buds, bud cluster","2 axillary buds, 1 terminal bud cluster",2.07,16.8,1.98,2.04,,,,"saved tissue, accurate weight",250809,y,,,,
25_075,469119,SD00062784,2008,2,bud cluster,1 terminal bud cluster,1.09,5.1,3.04,3.22,,,,"saved tissue(1 large bud), accurate weight",250809,m,,,,
25_076,469025,SD00062738,2000,3.4,"axillary buds, bud cluster","3 axillary buds, 1 tiny terminal bud cluster",5.59,71.1,2.16,2.34,,,,"saved tissue, accurate weight",250809,y,,,,
25_077,469078,SD00062639,2004,3.1,axillary bud,3 axillary buds,8.69,225.9,2.14,2.4,,,,"saved tissue, accurate weight",251027,,,,,
25_078,469111,SD00062628,2007,~8,axillary bud,4 axillary buds,16.3,227.1,2.12,2.39,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_079,469136,SD00062776,2012,4.1,axillary bud,4 axillary buds,32.8,458.5,2.14,2.38,,,,"saved tissue, accurate weight",251027,,,,,
25_080,469107,SD00062630,2007,~46,axillary bud,1 massive axillary bud,36.2,289,2.07,2.31,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_081,3700299,SD00029907,2017,1.3,axillary bud,5 tiny axillaty buds,5.38,11.7,1.86,1.62,,,,"saved tissue, accurate weight",251027,,,,,
25_082,469176,SD00062725,2016,5.2,bud clusters,3 terminal bud clusters,28.8,415.9,2.14,2.4,,,,"saved tissue, accurate weight",251027,,,,,
25_083,469079,SD00062691,2005,20,axillary bud,1 massive axillary bud,10.9,42.2,2.04,2.47,,,,"saved tissue, accurate weight",251027,,,,,
25_084,469055,SD00062752,2004,3.7,axillary bud,3 axillary buds,5.74,136.9,2.11,2.27,,,,"saved tissue, accurate weight",251027,,,,,
25_085,469139,SD00062706,2012,~3,,few axillary and one floral bud cluster,19.9,38.8,2.01,2.11,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_086,469126,SD00062682,2006,~20,bud clusters,3 terminal bud clusters,21.4,197.3,2.12,2.39,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_087,469065,SD00062735,2005,~20,,"2 axillary buds, 1 terminal bud cluster",38.1,342.8,2.13,2.41,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_088,469040,SD00062685,2004,~13,,"3 axillary bud, 1 terminal",31.7,42.2,1.9,2.16,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_089,469105,SD00062729,2006,~29,leaf,mature leaf and one flw bud,16.3,97,1.86,1.02,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_090,469044,SD00062760,2005,16,axillary bud,1 massive axillary bud,2.89,6.2,2.37,1.55,,,,"saved tissue, accurate weight",251027,,,,,
25_091,469123,SD00062583,2009,12.2,"axillary buds, bud cluster","axillary bud, floral bud clusters",23.6,173,2.09,2.37,,,,"saved tissue, accurate weight",251027,,,,,
25_092,469138,SD00062775,2012,5.2,"axillary buds, bud cluster","3 axillary bud, 1 terminal",42.3,398.4,2.11,2.37,,,,"saved tissue, accurate weight",251027,,,,,
25_093,469053,SD00062753,2003,~16,axillary bud + leaf,"3 axillary bud, 1 little leaf",29.1,136.8,2.05,2.1,,,,"saved tissue, accurate weight",251027,,,,,
25_094,469063,SD00062589,2005,41,axillary bud,1 massive axillary bud,24.7,37.1,1.84,1.93,,,,"saved tissue, accurate weight",251027,,,,,
25_095,469115,SD00062731,2006,7.6,axillary bud,4 axillary buds,25,340.1,2.13,2.38,,,,"saved tissue, accurate weight",251027,,,,,
25_096,6014478,SD00087803,2019,~1,axillary bud + leaf,"2 little axillary buds, one tiny leaf",8.65,15.8,1.94,1.72,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_097,3700296,SD00030202,2010,~5,axillary bud + leaf,several tiny axillary buds and a few lil leaves,12.5,81.1,2.09,2.22,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_098,469058,SD00062561,2004,7.5,axillary bud,5 axillary buds,39.4,66.1,1.93,2.2,,,,"saved tissue, accurate weight",251027,,,,,
25_099,3771777,SBBG174263,2018,~15,bud cluster,5 bud clusters,67,128.8,1.98,2.32,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_100,2264695,SBBG166103,2019,~18,axillary bud + leaf,5 axillary buds; 1 little leaves,60.7,129.9,1.98,1.36,,,,"no extra tissue, inaccurate weight",251027,,,,,
25_125,2334928,CAS74198,1913,4.5,axillary bud,3 axillary buds,0.538,5.2,1.79,0.87,,,,"saved tissue, accurate weight",251116,,,,,
25_126,1368053,DAV310402,1927,6,axillary bud,"1 multibud cluster, 1 axillary bud",0.769,5.3,1.89,0.83,,,,"saved tissue, accurate weight",251116,,,,,
25_127,1367986,DAV300675,1963,4.8,bud cluster,"2 axillary, 1 terminal",0.437,4.1,1.93,0.95,,,,"saved tissue, accurate weight",251116,,,,,
25_128,375697,SDSU01220,1969,2.4,axillary bud,2 axillary buds w lil leaves,0,2.7,2.54,0.69,,,,"saved tissue, accurate weight",251116,n,,,,
25_129,106537,SBBG213844,1977,3.5,bud cluster,"1 axillary, 1 terminal",0,2.6,2.39,0.72,,,,"saved tissue, accurate weight",251116,n,,,,
25_130,2049555(f),CHSC038052,1983,1,axillary bud + leaf,"3 axillary bud, 1 sml lf bit",0.563,4.6,2.33,1.03,,,,"saved tissue, accurate weight",251116,,,,,
25_131,468977,SD00062676,1937,8.6,axillary bud + leaf,"2 axillary buds, 1 little leaf",0,4.9,1.59,0.6,,,,"saved tissue, accurate weight",251116,n,,,,
25_132,1333957(f),DAV300674,1995,2.7,axillary bud,3 axillary buds,0.287,2.2,2.36,1.16,,,,"saved tissue, accurate weight",251116,,,,,
25_133,1367985,DAV300676,2000,1.9,axillary bud,3 axillary bud,213,21.7,1.75,1.82,,y,,,251202,,,,3.23,
25_134,1302899,DAV300672,2003,1.6,axillary bud,4 axillary bud,14,24,1.7,1.59,,y,,,251202,,,,2.4,
25_135,3400832,JEPS111867,2004,13.3,bud cluster+leaf,"1 bud cluster, 2 little leaves",30.7,340,2.1,2.47,,y,,,251202,,,,96,
25_135,3400832,JEPS111867,2004,,,,69.1,138.1,1.85,2.07,,y,,,251202,,,,6.98,
25_136,2124078,CHSC096467,2007,3.6,axillary bud,3 axillary buds,33.5,62.9,1.84,1.87,,y,,,251202,,,,11.8,
25_137,1336458,DAV310437,2009,12,axillary bud+little leaf,"2 axillary buds, 1 little leaf",90,333.4,2.06,2.36,,y,,,251202,,,,63,
25_137c,1336458,DAV310437,2009,,,,205,234.3,1.84,2.28,,y,,,251202,,,,8.86,
25_138,1652583,UCR0083380,2011,4.3,axillary bud,4 axillary buds,56.4,209.6,2.05,2.29,,y,,,251202,,,,56,
25_138c,1652583,UCR0083380,2011,,,,147,156.4,1.85,2.13,,y,,,251202,,,,7.08,
25_139,3550026,UC1126746,1934,6.6,axillary buds,4 axillary buds,7.84,118.9,2.07,2.36,,y,,,251202,,,,62,
25_139c,3550026,UC1126746,1934,,,,16.4,28.3,1.84,1.46,,y,,,251202,,,,2.3,
25_140,1368038,DAV010561,1943,5.5,axillary buds,4 axillary buds,16.2,125,2.03,2.16,,y,,,251202,,,,56,
25_140c,1368038,DAV010561,1943,,,,36.7,60.1,1.84,1.78,,y,,,251202,,,,6.51,
25_141,2270810,74353,1950,6.8,axillary bud,1 axillary bud,LOW,7.8,1.6,1.34,,y,,extra large bud cluster BUT fell on the floor! Maybe contam - would want to clean somehow before use if needed,251202,,,,LOW,
25_142,5504872,684511,1966,4.1,axillary buds,5 axillary buds,7.64,36.9,1.89,1.78,,y,,,251202,,,,15.1,
25_142c,5504872,684511,1966,,,,20.4,33.8,1.92,1.57,,y,,,251202,,,,3.82,
25_143,33390,SBBG213840,1988,2,tiny ax bud,4 sml ax bud,0.063,3.5,1.79,1,,,,"saved tissue, accurate weight",251210,,,,,
25_144,1459130,UCR0083335,1986,4.8,terminal and ax bud,2 terminal 1 sml ax,35.1,55.9,1.79,1.86,,,,"saved tissue, accurate weight",251210,,,,,
25_145,375697,SDSU01220,1969,~5,md ax bud,2 md ax buds,0.241,8.3,1.41,0.66,,,,"no extra tissue, inaccurate weight",251210,,,,,
25_146,4745856,RENO77910,1967,4.1,md ax bud,2 md ax buds,58.5,71.8,1.78,2.03,,,,"saved tissue, accurate weight",251210,,,,,
25_147,1443133,UCR0083345,1965,4.8,sml ax bud,4+ sml ax bud,23.6,39.3,1.75,1.78,,,,"saved tissue, accurate weight",251210,,,,,
25_148,304537,UCSB031994,1953,4.2,flw buds,multiple buds,0.237,6,1.38,0.91,,,,"no extra tissue, accurate weight",251210,,,,,
25_149,468986,SD00062669,1940,6.8,terminal/flw buds,multiple buds,0.421,7,1.67,1.02,,,,"saved tissue, accurate weight",251210,,,,,
25_150,468982,SD00062675,1937,3.4,sm and md ax buds,~3 sm ax & 1 md,0.45,5.6,1.39,0.75,,,,"saved tissue, accurate weight",251210,,,,,
25_151,468972,SD00062564,1936,6.4,md ax bud,2 md ax buds + other,0.106,6.1,1.45,0.75,,,,"saved tissue, accurate weight",251210,,,,,
25_152,468990,SD00062715,1934,~1,sm ax bud,multiple buds,2.16,10.1,1.68,1.71,,,,"no extra tissue, inaccurate weight",251210,,,,,
25_153,1367992,DAV310430,1917,~20,sm ax bud and terminal bud,3 ax bud and 2 terminal,16.4,41.8,1.72,1.38,,,,"no extra tissue, inaccurate weight",251210,,,,,
25_154,3479641,UC212637,1917,~5,sm ax bud and terminal buds,2 ax bud and 1 terminal,3.16,15,1.71,1.88,,y,,no extra tissue,251210,,,,,
25_155,2352540,74248,1921,~5,sm and md ax buds,2 ax bud,2.29,12.8,1.78,1.94,,y,,no extra tissue,251210,,,,,
25_156,3260290,UC407038,1930,12.4,terminal bud,1 large terminal bud,0.24,7.7,1.42,0.82,,,,"saved tissue, accurate weight",251210,,,,,
25_157,3433650,UC1126749,1935,~10,terminal bud,2 terminal bud,8.21,16.9,1.79,1.83,,,,no extra tissue,251210,,,,,
25_158,1368038,DAV010561,1943,~10,md ax bud,2 md ax buds,19.8,37.6,1.83,2.19,,,,no extra tissue,251210,,,,,
25_159,2437632,74321,1956,8.1,sm and lg ax bud,1 lg and 3 small,22,41.6,1.83,1.02,,,,"saved tissue, accurate weight",251210,,,,,
25_160,2412262,74328,1957,3.9,terminal bud and md ax bud,1 terminal and 2 md ax,2.41,13.1,1.03,1.73,,,,"no saved tissue, accurate weight",251210,,,,,
25_161,2409497,74291,1961,3.7,md ax bud and terminal bud,3 md ax and 1 terminal,11.5,10,1.76,1.45,,,,"no saved tissue, accurate weight",251210,,,,,
25_162,5569674,684517,1967,~12,terminal bud ,3 terminal bud,1.72,15.3,1.81,1.83,,,,"no saved tissue, inaccurate weight",251210,,,,,
25_163,2328064,74256,1968,9.7,sm ax bud and md ax bud,3 small and 2 md,22.9,83.2,1.93,2.16,,,,"saved tissue, accurate weight",251210,,,,,
25_164,5569852,685180,1972,7.7,terminal bud and md ax bud,2 terminal bud and 1 md ax bud,15.5,31.3,1.74,1.72,,,,"saved tissue, accurate weight",251210,,,,,
25_165,469018,SD00062710,1986,11.8,md ax buds and sm ax bud,3 md ax bud and 4 small,14.8,39.4,1.9,2.14,,,,"saved tissue, accurate weight",251210,,,,,
25_166,1300530,DAV310440,2000,~4,sm ax bud and md ax bud,1 sm ax bud and 1 md ax bud,58.2,73.3,1.82,2.09,,,,"no saved tissue, inaccurate weight",251210,,,,,
25_167,1333957,DAV300674,1995,4,md ax & sm terminal,"1 md ax, 1 sm term",20.2,47.9,1.94,2.06,,,,"saved tissue, accurate weight",251215,,,,,
25_168,1367989,DAV310445,1992,6.8,lg/md/sm ax,1 ea lg/md/sm ax,123,240.8,1.94,2.14,,,,"saved tissue, accurate weight",251215,,,,,
25_169,2314219,74265,1980,1.7,sm ax bud,2 sm ax bud,17.2,25.3,1.87,1.7,,,,"no saved tissue, accurate weight",251215,,,,,
25_170,304593,UCSB032037,1971,6,term bud clusters,2 terminal bud,0.35,7.4,1.37,0.91,,,,"no saved tissue, accurate weight",251215,,,,,
